"","All U.S. citizens and permanent residents, all fields","Science and engineering","Science","Computer and information sciences","Geosciences, atmospheric sciences, and ocean sciences","Atmospheric sciences","Earth sciences","Ocean sciences","Life sciences","Agricultural sciences and natural resources","Biological and biomedical sciences","Health sciences","Mathematics and Statistics","Physical sciences","Astronomy","Chemistry","Physics","Other physical sciences","Psychology and social sciences","Anthropology","Economics","Political science","Psychology","Sociology","Other social sciences","Engineering","Aerospace, aeronautical, and astronautical engineering","Bioengineering and biomedical engineering","Chemical engineering","Civil engineering","Electrical, electronics, and communications engineering","Industrial and manufacturing engineering","Materials science engineering","Mechanical engineering","Other engineering","Non-science and engineering","Education","Humanities and arts","Technologies","Other non-science and engineering/unknown","Year","Ethnicity","Gender"
"1",652091,250520,196717,30644,2781,470,1967,344,56567,9587,31980,15000,8433,9908,214,5701,3706,287,88384,2631,16247,21827,20981,8675,18023,53803,2362,1894,2955,8088,10083,2231,679,14874,10637,401571,32301,104380,16982,247908,"2008","All","Male"
"2",669080,255666,200834,30184,3004,480,2155,369,59778,10100,33264,16414,8731,10029,186,5790,3743,310,89108,2633,16985,21106,21242,8588,18554,54832,2449,2213,3139,8527,9608,2534,634,14959,10769,413414,32365,106528,17518,257003,"2009","All","Male"
"3",689916,267788,210433,31336,3165,452,2299,414,65063,10531,35409,19123,8983,10359,241,5928,3823,367,91527,2756,17641,21354,22044,8740,18992,57355,2564,2258,3564,8886,9398,2716,694,15916,11359,422128,31775,107164,17780,265409,"2010","All","Male"
"4",714163,283437,223961,34253,3495,456,2533,506,70446,11719,36426,22301,9520,10907,217,6292,4026,372,95340,2902,17967,21996,22999,8866,20610,59476,2687,2321,3999,9708,9286,2772,649,16412,11642,430726,31992,108249,18766,271719,"2011","All","Male"
"5",742895,301820,239360,37409,3883,465,2879,539,77882,12459,39131,26292,10253,11576,237,6693,4247,399,98357,3103,17532,21944,25152,9297,21329,62460,2843,2566,4419,9784,9549,2956,767,17273,12303,441075,33392,109773,19688,278222,"2012","All","Male"
"6",762482,318955,253156,40478,4177,490,3120,567,85720,13646,41132,30942,10966,12311,224,6977,4680,430,99504,3258,17245,21214,26472,9361,21954,65799,2770,2810,4742,10074,10218,3046,807,18430,12902,443527,34240,109895,19822,279570,"2013","All","Male"
"7",774290,331955,262325,43803,4439,483,3358,598,90914,14119,43219,33576,11205,12760,245,7234,4835,446,99204,3091,17838,20610,26931,9406,21328,69630,2835,3097,4975,9641,10922,3355,860,20198,13747,442335,33722,105950,19752,282911,"2014","All","Male"
"8",781745,341870,268598,46860,4809,461,3687,661,95383,14104,44868,36411,11466,13002,239,7205,5138,420,97078,2722,19301,19514,26458,8973,20110,73272,3113,3289,5588,9298,11322,3591,953,21681,14437,439875,32293,100892,19953,286737,"2015","All","Male"
"9",785845,349416,271045,49862,4789,465,3757,567,98056,14356,45237,38463,11940,13101,298,7181,5266,356,93297,2425,19377,18052,25869,8272,19302,78371,3071,3583,6075,9289,12097,3824,1022,23561,15849,436429,31956,95745,19865,288863,"2016","All","Male"
"10",794082,359077,275716,54420,4772,411,3782,579,100081,14511,44984,40586,12599,13177,335,7217,5260,365,90667,2242,19630,17568,24926,7992,18309,83361,3224,3637,6625,9351,12831,4031,1034,25359,17269,435005,30593,91680,20072,292660,"2017","All","Male"
